,Date,Open,High,Low,Close,Volume,Turnover
719,2022-11-08,97.0,97.0,97.0,97.0,0.0,0.0
720,2022-11-09,167.0,167.0,167.0,167.0,0.0,0.0
721,2022-11-10,50.0,50.0,50.0,50.0,0.0,0.0
722,2022-11-11,35.0,35.0,35.0,35.0,0.0,0.0
723,2022-11-14,24.0,24.0,24.0,24.0,0.0,0.0
724,2022-11-15,28.0,28.0,28.0,28.0,0.0,0.0
725,2022-11-16,55.0,55.0,55.0,55.0,0.0,0.0
726,2022-11-17,69.0,69.0,69.0,69.0,0.0,0.0
727,2022-11-18,42.0,42.0,42.0,42.0,0.0,0.0
728,2022-11-21,59.0,59.0,59.0,59.0,0.0,0.0
729,2022-11-22,68.0,68.0,68.0,68.0,0.0,0.0
730,2022-11-23,47.0,47.0,47.0,47.0,0.0,0.0
731,2022-11-25,30.0,30.0,30.0,30.0,0.0,0.0
732,2022-11-28,59.0,59.0,59.0,59.0,0.0,0.0
733,2022-11-29,68.0,68.0,68.0,68.0,0.0,0.0
734,2022-11-30,66.0,66.0,66.0,66.0,0.0,0.0
735,2022-12-01,25.0,25.0,25.0,25.0,0.0,0.0
736,2022-12-02,44.0,44.0,44.0,44.0,0.0,0.0
737,2022-12-05,55.0,55.0,55.0,55.0,0.0,0.0
738,2022-12-06,114.0,114.0,114.0,114.0,0.0,0.0
739,2022-12-07,102.0,102.0,102.0,102.0,0.0,0.0
740,2022-12-08,71.0,71.0,71.0,71.0,0.0,0.0
741,2022-12-09,63.0,63.0,63.0,63.0,0.0,0.0
742,2022-12-12,90.0,90.0,90.0,90.0,0.0,0.0
743,2022-12-13,56.0,56.0,56.0,56.0,0.0,0.0
744,2022-12-14,92.0,92.0,92.0,92.0,0.0,0.0
745,2022-12-15,126.0,126.0,126.0,126.0,0.0,0.0
746,2022-12-16,178.0,178.0,178.0,178.0,0.0,0.0
747,2022-12-19,166.0,166.0,166.0,166.0,0.0,0.0
748,2022-12-20,164.0,164.0,164.0,164.0,0.0,0.0
749,2022-12-21,73.0,73.0,73.0,73.0,0.0,0.0
750,2022-12-22,201.0,201.0,201.0,201.0,0.0,0.0
751,2022-12-23,82.0,82.0,82.0,82.0,0.0,0.0
752,2022-12-27,137.0,137.0,137.0,137.0,0.0,0.0
753,2022-12-28,180.0,180.0,180.0,180.0,0.0,0.0
754,2022-12-29,84.0,84.0,84.0,84.0,0.0,0.0
755,2022-12-30,72.0,72.0,72.0,72.0,0.0,0.0
756,2023-01-03,36.0,36.0,36.0,36.0,0.0,0.0
757,2023-01-04,19.0,19.0,19.0,19.0,0.0,0.0
758,2023-01-05,37.0,37.0,37.0,37.0,0.0,0.0
759,2023-01-06,25.0,25.0,25.0,25.0,0.0,0.0
760,2023-01-09,9.0,9.0,9.0,9.0,0.0,0.0
761,2023-01-10,6.0,6.0,6.0,6.0,0.0,0.0
762,2023-01-11,5.0,5.0,5.0,5.0,0.0,0.0
763,2023-01-12,12.0,12.0,12.0,12.0,0.0,0.0
764,2023-01-13,6.0,6.0,6.0,6.0,0.0,0.0
765,2023-01-17,10.0,10.0,10.0,10.0,0.0,0.0
766,2023-01-18,8.0,8.0,8.0,8.0,0.0,0.0
767,2023-01-19,18.0,18.0,18.0,18.0,0.0,0.0
768,2023-01-20,16.0,16.0,16.0,16.0,0.0,0.0
769,2023-01-23,8.0,8.0,8.0,8.0,0.0,0.0
770,2023-01-24,25.0,25.0,25.0,25.0,0.0,0.0
771,2023-01-25,13.0,13.0,13.0,13.0,0.0,0.0
772,2023-01-26,11.0,11.0,11.0,11.0,0.0,0.0
773,2023-01-27,6.0,6.0,6.0,6.0,0.0,0.0
774,2023-01-30,8.0,8.0,8.0,8.0,0.0,0.0
775,2023-01-31,4.0,4.0,4.0,4.0,0.0,0.0
776,2023-02-01,8.0,8.0,8.0,8.0,0.0,0.0
777,2023-02-02,5.0,5.0,5.0,5.0,0.0,0.0
778,2023-02-03,4.0,4.0,4.0,4.0,0.0,0.0
779,2023-02-06,12.0,12.0,12.0,12.0,0.0,0.0
780,2023-02-07,8.0,8.0,8.0,8.0,0.0,0.0
781,2023-02-08,6.0,6.0,6.0,6.0,0.0,0.0
782,2023-02-09,10.0,10.0,10.0,10.0,0.0,0.0
783,2023-02-10,15.0,15.0,15.0,15.0,0.0,0.0
784,2023-02-13,13.0,13.0,13.0,13.0,0.0,0.0
785,2023-02-14,12.0,12.0,12.0,12.0,0.0,0.0
786,2023-02-15,7.0,7.0,7.0,7.0,0.0,0.0
787,2023-02-16,15.0,15.0,15.0,15.0,0.0,0.0
788,2023-02-17,10.0,10.0,10.0,10.0,0.0,0.0
789,2023-02-21,29.0,29.0,29.0,29.0,0.0,0.0
790,2023-02-22,34.0,34.0,34.0,34.0,0.0,0.0
791,2023-02-23,28.0,28.0,28.0,28.0,0.0,0.0
792,2023-02-24,47.0,47.0,47.0,47.0,0.0,0.0
793,2023-02-27,25.0,25.0,25.0,25.0,0.0,0.0
794,2023-02-28,36.0,36.0,36.0,36.0,0.0,0.0
795,2023-03-01,51.0,51.0,51.0,51.0,0.0,0.0
